犲,やまいぬ,2
狄,えびす,2
狆,ちん,2
狗,いぬ,1
狛,こま、こまいぬ,1
狒,ひひ,2
狐,きつね,1
狢,むじな,1
狸,たぬき,1
狼,おおかみ,1
狷,かたいじ,2
猫,ねこ,1
猪,い、いのしし,1
猊,しし,2
獏,ばく,2
猐,えびす,3
㺃,いぬ,3
猴,さる、ましら,2
猩,あかいろ,2
猯,たぬき、まみ,3
猨,さる、ましら,3
猬,はりねずみ,3
㺅,さる、ましら,3
猿,さる、ましら,1
獅,しし,1
㺚,おそ、かわうそ,3
獺,おそ、かわうそ,2
獼,おおざる,3
獐,のろ,3
猱,さる,3
